,team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
0,Brentford,Arsenal,2,0,1,-0.5,0.75
1,Man United,Leeds,5,1,1,0.5,3.5
2,Burnley,Brighton,1,2,-1,-0.3333333333333333,1.0
3,Chelsea,Crystal Palace,3,0,1,1.0,2.25
4,Everton,Southampton,3,1,1,0.0,2.0
5,Leicester,Wolves,1,0,1,1.0,1.5
6,Watford,Aston Villa,3,2,1,1.0,3.0
7,Norwich,Liverpool,0,3,-1,-1.0,0.0
8,Newcastle,West Ham,2,4,-1,-0.5,1.5
9,Tottenham,Man City,1,0,1,1.0,1.0
10,Liverpool,Burnley,2,0,1,1.0,2.3333333333333335
11,Aston Villa,Newcastle,2,0,1,1.0,2.5
12,Crystal Palace,Brentford,0,0,0,0.0,0.5
13,Leeds,Everton,2,2,0,0.0,1.5
14,Man City,Norwich,5,0,1,1.0,5.0
15,Brighton,Watford,2,0,1,1.0,2.0
16,Southampton,Man United,1,1,0,-0.5,0.5
17,Wolves,Tottenham,0,1,-1,0.0,0.5
18,Arsenal,Chelsea,0,2,-1,0.25,2.5
19,West Ham,Leicester,4,1,1,0.0,2.0
20,Man City,Arsenal,5,0,1,1.0,4.5
21,Aston Villa,Brentford,1,1,0,0.5,2.5
22,Brighton,Everton,0,2,-1,-1.0,0.5
23,Newcastle,Southampton,2,2,0,0.5,2.5
24,Norwich,Leicester,1,2,-1,-1.0,1.0
25,West Ham,Crystal Palace,2,2,0,-0.5,1.5
26,Liverpool,Chelsea,1,1,0,0.25,1.5
27,Burnley,Leeds,1,1,0,0.0,1.0
28,Tottenham,Watford,1,0,1,1.0,1.0
29,Wolves,Man United,0,1,-1,-1.0,0.0
30,Crystal Palace,Tottenham,3,0,1,0.0,1.5
31,Arsenal,Norwich,1,0,1,1.0,1.0
32,Brentford,Brighton,0,1,-1,-0.25,0.75
33,Leicester,Man City,0,1,-1,-1.0,0.0
34,Man United,Newcastle,4,1,1,0.5,2.0
35,Southampton,West Ham,0,0,0,0.0,0.5
36,Watford,Wolves,0,2,-1,-1.0,0.0
37,Chelsea,Aston Villa,3,0,1,-0.25,1.25
38,Leeds,Liverpool,0,3,-1,-1.0,0.5
39,Everton,Burnley,3,1,1,1.0,2.0
40,Newcastle,Leeds,1,1,0,0.0,0.5
41,Wolves,Brentford,0,2,-1,0.0,1.0
42,Burnley,Arsenal,0,1,-1,-1.0,0.3333333333333333
43,Liverpool,Crystal Palace,3,0,1,0.25,1.5
44,Man City,Southampton,0,0,0,0.5,2.0
45,Norwich,Watford,1,3,-1,-1.0,1.0
46,Aston Villa,Everton,3,0,1,1.0,2.5
47,Brighton,Leicester,2,1,1,1.0,3.5
48,West Ham,Man United,1,2,-1,0.0,1.0
49,Tottenham,Chelsea,0,3,-1,0.0,1.0
50,Chelsea,Man City,0,1,-1,-1.0,0.0
51,Man United,Aston Villa,0,1,-1,0.0,0.5
52,Everton,Norwich,2,0,1,1.0,2.0
53,Leeds,West Ham,1,2,-1,-0.5,1.5
54,Leicester,Burnley,2,2,0,0.0,2.0
55,Watford,Newcastle,1,1,0,0.0,1.0
56,Brentford,Liverpool,3,3,0,-0.25,1.75
57,Southampton,Wolves,0,1,-1,-1.0,0.5
58,Arsenal,Tottenham,3,1,1,0.75,2.75
59,Crystal Palace,Brighton,1,1,0,0.0,1.0
60,Man United,Everton,1,1,0,0.5,1.5
61,Burnley,Norwich,0,0,0,0.0,0.0
62,Chelsea,Southampton,3,1,1,0.0,1.5
63,Leeds,Watford,1,0,1,1.0,1.0
64,Wolves,Newcastle,2,1,1,0.5,1.5
65,Brighton,Arsenal,0,0,0,-0.5,1.0
66,Crystal Palace,Leicester,2,2,0,0.5,2.0
67,Tottenham,Aston Villa,2,1,1,0.0,1.0
68,West Ham,Brentford,1,2,-1,-1.0,0.5
69,Liverpool,Man City,2,2,0,0.5,1.5
70,Watford,Liverpool,0,5,-1,-1.0,0.0
71,Aston Villa,Wolves,2,3,-1,-0.5,1.5
72,Leicester,Man United,4,2,1,0.0,2.0
73,Man City,Burnley,2,0,1,1.0,2.0
74,Norwich,Brighton,0,0,0,0.0,0.0
75,Southampton,Leeds,1,0,1,0.5,1.5
76,Brentford,Chelsea,0,1,-1,0.0,1.0
77,Everton,West Ham,0,1,-1,0.0,0.75
78,Newcastle,Tottenham,2,3,-1,0.0,4.0
79,Arsenal,Crystal Palace,2,2,0,0.75,3.0
80,Arsenal,Aston Villa,3,1,1,0.0,1.25
81,Chelsea,Norwich,7,0,1,1.0,7.0
82,Crystal Palace,Newcastle,1,1,0,0.0,0.5
83,Everton,Watford,2,5,-1,-1.0,2.0
84,Leeds,Wolves,1,1,0,0.5,1.5
85,Southampton,Burnley,2,2,0,0.0,2.0
86,Brighton,Man City,1,4,-1,-0.5,1.0
87,Brentford,Leicester,1,2,-1,-0.5,1.0
88,West Ham,Tottenham,1,0,1,0.5,1.0
89,Man United,Liverpool,0,5,-1,0.0,1.0
90,Leicester,Arsenal,0,2,-1,-1.0,0.0
91,Burnley,Brentford,3,1,1,0.3333333333333333,1.6666666666666667
92,Liverpool,Brighton,2,2,0,0.25,2.25
93,Man City,Crystal Palace,0,2,-1,0.0,2.0
94,Newcastle,Chelsea,0,3,-1,0.0,0.5
95,Watford,Southampton,0,1,-1,-1.0,0.0
96,Tottenham,Man United,0,3,-1,-0.5,1.0
97,Norwich,Leeds,1,2,-1,-1.0,1.0
98,Aston Villa,West Ham,1,4,-1,-1.0,0.5
99,Wolves,Everton,2,1,1,0.5,1.5
100,Southampton,Aston Villa,1,0,1,0.0,0.5
101,Man United,Man City,0,2,-1,0.0,1.0
102,Brentford,Norwich,1,2,-1,-1.0,1.0
103,Chelsea,Burnley,1,1,0,0.3333333333333333,2.3333333333333335
104,Crystal Palace,Wolves,2,0,1,1.0,2.0
105,Brighton,Newcastle,1,1,0,0.0,0.5
106,Arsenal,Watford,1,0,1,1.0,1.0
107,Everton,Tottenham,0,0,0,-0.25,1.0
108,Leeds,Leicester,1,1,0,0.0,1.0
109,West Ham,Liverpool,3,2,1,0.0,2.0
110,Leicester,Chelsea,0,3,-1,-1.0,0.5
111,Aston Villa,Brighton,2,0,1,1.0,2.0
112,Burnley,Crystal Palace,3,3,0,-0.6666666666666666,1.0
113,Newcastle,Brentford,3,3,0,0.5,4.0
114,Norwich,Southampton,2,1,1,1.0,2.0
115,Watford,Man United,4,1,1,1.0,4.0
116,Wolves,West Ham,1,0,1,1.0,1.0
117,Liverpool,Arsenal,4,0,1,0.0,2.0
118,Man City,Everton,3,0,1,0.5,2.0
119,Tottenham,Leeds,2,1,1,1.0,3.0
120,Arsenal,Newcastle,2,0,1,0.5,1.0
121,Crystal Palace,Aston Villa,1,2,-1,0.0,2.0
122,Liverpool,Southampton,4,0,1,1.0,3.5
123,Norwich,Wolves,0,0,0,0.0,0.0
124,Brighton,Leeds,0,0,0,0.5,0.5
125,Brentford,Everton,1,0,1,-0.25,0.75
126,Leicester,Watford,4,2,1,1.0,4.0
127,Man City,West Ham,2,1,1,1.0,2.5
128,Chelsea,Man United,1,1,0,0.0,1.0
129,Newcastle,Norwich,1,1,0,0.0,1.0
130,Leeds,Crystal Palace,1,0,1,0.0,1.0
131,Southampton,Leicester,2,2,0,0.5,1.5
132,Watford,Chelsea,1,2,-1,-1.0,1.0
133,West Ham,Brighton,1,1,0,-0.5,0.5
134,Wolves,Burnley,0,0,0,0.0,0.0
135,Aston Villa,Man City,1,2,-1,-0.5,1.0
136,Everton,Liverpool,1,4,-1,-0.25,0.75
137,Tottenham,Brentford,2,0,1,0.0,1.5
138,Man United,Arsenal,3,2,1,1.0,3.0
139,West Ham,Chelsea,3,2,1,0.5,2.0
140,Newcastle,Burnley,1,0,1,1.0,1.0
141,Southampton,Brighton,1,1,0,-0.5,1.0
142,Wolves,Liverpool,0,1,-1,0.0,1.5
143,Watford,Man City,1,3,-1,-1.0,1.0
144,Leeds,Brentford,2,2,0,0.0,1.0
145,Man United,Crystal Palace,1,0,1,1.0,1.5
146,Tottenham,Norwich,3,0,1,1.0,3.0
147,Aston Villa,Leicester,2,1,1,0.0,2.0
148,Everton,Arsenal,2,1,1,0.0,1.0
149,Brentford,Watford,2,1,1,1.0,2.0
150,Man City,Wolves,1,0,1,1.0,2.0
151,Arsenal,Southampton,3,0,1,0.5,3.0
152,Chelsea,Leeds,3,2,1,1.0,2.0
153,Liverpool,Aston Villa,1,0,1,0.5,2.0
154,Norwich,Man United,0,1,-1,-1.0,0.0
155,Burnley,West Ham,0,0,0,-0.3333333333333333,1.0
156,Leicester,Newcastle,4,0,1,0.0,2.0
157,Crystal Palace,Everton,3,1,1,0.5,1.5
158,Norwich,Aston Villa,0,2,-1,-1.0,0.0
159,Man City,Leeds,7,0,1,1.0,4.5
160,Brighton,Wolves,0,1,-1,0.0,3.0
161,Crystal Palace,Southampton,2,2,0,0.5,1.5
162,Arsenal,West Ham,2,0,1,0.5,2.75
163,Chelsea,Everton,1,1,0,0.0,2.25
164,Liverpool,Newcastle,3,1,1,1.0,2.5
165,Leeds,Arsenal,1,4,-1,-1.0,0.5
166,Newcastle,Man City,0,4,-1,-0.5,1.5
167,Wolves,Chelsea,0,0,0,0.5,0.5
168,Tottenham,Liverpool,2,2,0,-0.5,1.5
169,Man City,Leicester,6,3,1,1.0,4.5
170,Norwich,Arsenal,0,5,-1,-1.0,0.0
171,Tottenham,Crystal Palace,3,0,1,1.0,2.0
172,West Ham,Southampton,2,3,-1,0.0,1.5
173,Aston Villa,Chelsea,1,3,-1,-1.0,0.5
174,Brighton,Brentford,2,0,1,0.5,2.5
175,Newcastle,Man United,1,1,0,0.5,1.5
176,Crystal Palace,Norwich,3,0,1,1.0,3.0
177,Southampton,Tottenham,1,1,0,0.0,2.0
178,Watford,West Ham,1,4,-1,-1.0,1.0
179,Leicester,Liverpool,1,0,1,0.0,0.5
180,Chelsea,Brighton,1,1,0,0.25,1.75
181,Brentford,Man City,0,1,-1,0.0,0.5
182,Man United,Burnley,3,1,1,1.0,3.0
183,Arsenal,Man City,1,2,-1,-1.0,1.0
184,Watford,Tottenham,0,1,-1,-1.0,0.0
185,Crystal Palace,West Ham,2,3,-1,0.0,3.0
186,Brentford,Aston Villa,2,1,1,0.0,1.75
187,Everton,Brighton,2,3,-1,-0.5,1.25
188,Leeds,Burnley,3,1,1,1.0,3.0
189,Chelsea,Liverpool,2,2,0,-0.25,1.0
190,Man United,Wolves,0,1,-1,0.0,1.0
191,Southampton,Brentford,4,1,1,0.0,2.0
192,West Ham,Norwich,2,0,1,1.0,2.0
193,Brighton,Crystal Palace,1,1,0,0.5,1.0
194,Man City,Chelsea,1,0,1,1.0,1.0
195,Newcastle,Watford,1,1,0,0.0,1.0
196,Norwich,Everton,2,1,1,1.0,2.0
197,Wolves,Southampton,3,1,1,1.0,2.0
198,Aston Villa,Man United,2,2,0,0.5,2.5
199,Liverpool,Brentford,3,0,1,1.0,2.75
200,West Ham,Leeds,2,3,-1,0.0,2.5
201,Brighton,Chelsea,1,1,0,0.5,2.5
202,Leicester,Tottenham,2,3,-1,0.0,3.0
203,Brentford,Man United,1,3,-1,0.0,2.5
204,Watford,Norwich,0,3,-1,-1.0,0.0
205,Everton,Aston Villa,0,1,-1,-0.75,0.0
206,Brentford,Wolves,1,2,-1,-0.25,1.25
207,Leeds,Newcastle,0,1,-1,-0.5,1.0
208,Man United,West Ham,1,0,1,1.0,1.0
209,Southampton,Man City,1,1,0,-0.5,1.0
210,Arsenal,Burnley,0,0,0,0.6666666666666666,2.6666666666666665
211,Crystal Palace,Liverpool,1,3,-1,-0.5,0.5
212,Leicester,Brighton,1,1,0,0.0,1.5
213,Chelsea,Tottenham,2,0,1,0.75,2.5
214,Burnley,Watford,0,0,0,0.0,0.0
215,Newcastle,Everton,3,1,1,1.0,2.0
216,West Ham,Watford,1,0,1,1.0,1.0
217,Burnley,Man United,1,1,0,0.0,1.0
218,Man City,Brentford,2,0,1,0.0,1.5
219,Norwich,Crystal Palace,1,1,0,0.0,1.0
220,Tottenham,Southampton,2,3,-1,0.0,3.0
221,Aston Villa,Leeds,3,3,0,0.5,2.5
222,Liverpool,Leicester,2,0,1,1.0,2.0
223,Wolves,Arsenal,0,1,-1,-1.0,0.0
224,Man United,Southampton,1,1,0,0.0,0.5
225,Brentford,Crystal Palace,0,0,0,-0.25,0.75
226,Everton,Leeds,3,0,1,1.0,2.0
227,Watford,Brighton,0,2,-1,-1.0,0.0
228,Norwich,Man City,0,4,-1,-1.0,0.0
229,Burnley,Liverpool,0,1,-1,-1.0,0.3333333333333333
230,Newcastle,Aston Villa,1,0,1,1.0,2.5
231,Tottenham,Wolves,0,2,-1,0.0,0.5
232,Leicester,West Ham,2,2,0,0.5,2.0
233,Man United,Brighton,2,0,1,0.0,1.5
234,West Ham,Newcastle,1,1,0,-0.5,1.0
235,Arsenal,Brentford,2,1,1,0.75,1.5
236,Aston Villa,Watford,0,1,-1,-1.0,0.0
237,Brighton,Burnley,0,3,-1,-1.0,0.0
238,Crystal Palace,Chelsea,0,1,-1,-1.0,0.5
239,Liverpool,Norwich,3,1,1,1.0,3.0
240,Southampton,Everton,2,0,1,0.0,1.5
241,Man City,Tottenham,2,3,-1,0.0,3.0
242,Leeds,Man United,2,4,-1,-1.0,1.0
243,Wolves,Leicester,2,1,1,0.0,1.0
244,Burnley,Tottenham,1,0,1,-0.3333333333333333,1.3333333333333333
245,Watford,Crystal Palace,1,4,-1,-1.0,1.0
246,Liverpool,Leeds,6,0,1,0.0,3.5
247,Arsenal,Wolves,2,1,1,1.0,2.75
248,Southampton,Norwich,2,0,1,1.0,2.0
249,Leeds,Tottenham,0,4,-1,-1.0,0.5
250,Brentford,Newcastle,0,2,-1,-1.0,0.5
251,Crystal Palace,Burnley,1,1,0,0.0,1.0
252,Man United,Watford,0,0,0,0.0,0.0
253,Brighton,Aston Villa,0,2,-1,-1.0,0.5
254,Everton,Man City,0,1,-1,-1.0,0.0
255,West Ham,Wolves,1,0,1,1.0,1.5
256,Burnley,Leicester,0,2,-1,-1.0,0.0
257,Leicester,Leeds,1,0,1,1.0,1.5
258,Aston Villa,Southampton,4,0,1,1.0,2.5
259,Burnley,Chelsea,0,4,-1,-0.6666666666666666,1.0
260,Newcastle,Brighton,2,1,1,1.0,3.0
261,Norwich,Brentford,1,3,-1,-1.0,1.0
262,Wolves,Crystal Palace,0,2,-1,0.0,1.0
263,Liverpool,West Ham,1,0,1,0.75,1.75
264,Watford,Arsenal,2,3,-1,-1.0,2.0
265,Man City,Man United,4,1,1,1.0,5.0
266,Tottenham,Everton,5,0,1,1.0,3.5
267,Norwich,Chelsea,1,3,-1,-1.0,1.0
268,Southampton,Newcastle,1,2,-1,-1.0,1.0
269,Wolves,Watford,4,0,1,1.0,4.0
270,Leeds,Aston Villa,0,3,-1,-0.5,0.0
271,Brighton,Liverpool,0,2,-1,0.0,1.5
272,Brentford,Burnley,2,0,1,0.3333333333333333,2.0
273,Man United,Tottenham,3,2,1,1.0,2.5
274,Chelsea,Newcastle,1,0,1,0.5,1.0
275,Everton,Wolves,0,1,-1,-1.0,0.25
276,Leeds,Norwich,2,1,1,1.0,2.0
277,Southampton,Watford,1,2,-1,-1.0,1.0
278,West Ham,Aston Villa,2,1,1,0.5,1.5
279,Arsenal,Leicester,2,0,1,1.0,3.0
280,Crystal Palace,Man City,0,0,0,-0.5,0.0
281,Brighton,Tottenham,0,2,-1,-1.0,0.0
282,Arsenal,Liverpool,0,2,-1,0.25,1.75
283,Everton,Newcastle,1,0,1,0.0,1.0
284,Wolves,Leeds,2,3,-1,-1.0,2.0
285,Aston Villa,Arsenal,0,1,-1,-1.0,1.0
286,Leicester,Brentford,2,1,1,0.5,2.0
287,Tottenham,West Ham,3,1,1,1.0,2.5
288,Liverpool,Watford,2,0,1,1.0,2.0
289,Brighton,Norwich,0,0,0,0.0,0.0
290,Burnley,Man City,0,2,-1,-1.0,0.0
291,Chelsea,Brentford,1,4,-1,-0.75,0.75
292,Leeds,Southampton,1,1,0,0.5,1.0
293,Wolves,Aston Villa,2,1,1,1.0,1.5
294,Man United,Leicester,1,1,0,0.5,2.0
295,West Ham,Everton,2,1,1,1.0,2.0
296,Tottenham,Newcastle,5,1,1,0.0,3.0
297,Crystal Palace,Arsenal,3,0,1,0.0,1.5
298,Burnley,Everton,3,2,1,-0.3333333333333333,1.0
299,Newcastle,Wolves,1,0,1,1.0,1.5
300,Everton,Man United,1,0,1,0.0,1.0
301,Arsenal,Brighton,1,2,-1,0.0,1.5
302,Southampton,Chelsea,0,6,-1,0.0,1.0
303,Watford,Leeds,0,3,-1,-1.0,0.0
304,Aston Villa,Tottenham,0,4,-1,0.0,1.0
305,Brentford,West Ham,2,0,1,0.5,2.25
306,Leicester,Crystal Palace,2,1,1,0.5,1.0
307,Norwich,Burnley,2,0,1,1.0,2.0
308,Man City,Liverpool,2,2,0,0.5,3.0
309,Tottenham,Brighton,0,1,-1,0.0,1.0
310,Man United,Norwich,3,2,1,1.0,3.0
311,Southampton,Arsenal,1,0,1,0.5,1.0
312,Watford,Brentford,1,2,-1,-1.0,1.0
313,Newcastle,Leicester,2,1,1,0.5,1.0
314,West Ham,Burnley,1,1,0,0.0,1.0
315,Liverpool,Man United,4,0,1,1.0,5.5
316,Chelsea,Arsenal,2,4,-1,-0.75,1.0
317,Everton,Leicester,1,1,0,-0.5,0.5
318,Newcastle,Crystal Palace,1,0,1,0.5,0.5
319,Man City,Brighton,3,0,1,1.0,3.0
320,Burnley,Southampton,2,0,1,1.0,2.0
321,Arsenal,Man United,3,1,1,1.0,3.0
322,Leicester,Aston Villa,0,0,0,-0.5,0.5
323,Man City,Watford,5,1,1,1.0,5.0
324,Norwich,Newcastle,0,3,-1,-1.0,0.0
325,Brentford,Tottenham,0,0,0,-0.25,1.5
326,Brighton,Southampton,2,2,0,0.5,2.5
327,Burnley,Wolves,1,0,1,0.0,0.6666666666666666
328,Chelsea,West Ham,1,0,1,0.5,2.25
329,Liverpool,Everton,2,0,1,0.5,1.5
330,Crystal Palace,Leeds,0,0,0,0.5,1.0
331,Man United,Chelsea,1,1,0,0.5,2.5
332,Newcastle,Liverpool,0,1,-1,-1.0,0.0
333,Aston Villa,Norwich,2,0,1,1.0,2.0
334,Southampton,Crystal Palace,1,2,-1,-1.0,0.5
335,Watford,Burnley,1,2,-1,-1.0,1.0
336,Wolves,Brighton,0,3,-1,-1.0,1.0
337,Leeds,Man City,0,4,-1,-1.0,0.5
338,Everton,Chelsea,1,0,1,0.0,0.75
339,Tottenham,Leicester,3,1,1,1.0,4.5
340,West Ham,Arsenal,1,2,-1,-0.5,1.5
341,Man United,Brentford,3,0,1,1.0,2.0
342,Brentford,Southampton,3,0,1,1.0,3.0
343,Burnley,Aston Villa,1,3,-1,-1.0,1.3333333333333333
344,Chelsea,Wolves,2,2,0,-0.25,2.0
345,Crystal Palace,Watford,1,0,1,1.0,1.0
346,Brighton,Man United,4,0,1,1.0,2.5
347,Liverpool,Tottenham,1,1,0,0.25,2.5
348,Arsenal,Leeds,2,1,1,1.0,3.0
349,Leicester,Everton,1,2,-1,-0.5,1.5
