team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
Arsenal,Aston Villa,0,1,-1,-1.0,0.0
Arsenal,Aston Villa,0,2,-1,-1.0,0.0
Arsenal,Bournemouth,4,0,1,1.0,4.0
Arsenal,Bournemouth,3,0,1,1.0,3.5
Arsenal,Brentford,1,0,1,1.0,1.0
Arsenal,Brentford,2,1,1,1.0,1.5
Arsenal,Brighton,2,0,1,1.0,2.0
Arsenal,Brighton,3,0,1,1.0,2.5
Arsenal,Burnley,3,1,1,1.0,3.0
Arsenal,Burnley,5,0,1,1.0,4.0
Arsenal,Chelsea,2,2,0,0.0,2.0
Arsenal,Chelsea,5,0,1,0.5,3.5
Arsenal,Crystal Palace,1,0,1,1.0,1.0
Arsenal,Crystal Palace,5,0,1,1.0,3.0
Arsenal,Everton,1,0,1,1.0,1.0
Arsenal,Everton,2,1,1,1.0,1.5
Arsenal,Fulham,2,2,0,0.0,2.0
Arsenal,Fulham,1,2,-1,-0.5,1.5
Arsenal,Liverpool,1,1,0,0.0,1.0
Arsenal,Liverpool,3,1,1,0.5,2.0
Arsenal,Luton Town,4,3,1,1.0,4.0
Arsenal,Luton Town,2,0,1,1.0,3.0
Arsenal,Manchester City,1,0,1,1.0,1.0
Arsenal,Manchester City,0,0,0,0.5,0.5
Arsenal,Manchester Utd,3,1,1,1.0,3.0
Arsenal,Manchester Utd,1,0,1,1.0,2.0
Arsenal,Newcastle Utd,0,1,-1,-1.0,0.0
Arsenal,Newcastle Utd,4,1,1,0.0,2.0
Arsenal,Nott'ham Forest,2,1,1,1.0,2.0
Arsenal,Nott'ham Forest,2,1,1,1.0,2.0
Arsenal,Sheffield Utd,5,0,1,1.0,5.0
Arsenal,Sheffield Utd,6,0,1,1.0,5.5
Arsenal,Tottenham,2,2,0,0.0,2.0
Arsenal,Tottenham,3,2,1,0.5,2.5
Arsenal,West Ham,0,2,-1,-1.0,0.0
Arsenal,West Ham,6,0,1,0.0,3.0
Arsenal,Wolves,2,1,1,1.0,2.0
Arsenal,Wolves,2,0,1,1.0,2.0
AstonVilla,Arsenal,1,0,1,1.0,1.0
AstonVilla,Arsenal,2,0,1,1.0,1.5
AstonVilla,Bournemouth,2,2,0,0.0,2.0
AstonVilla,Bournemouth,3,1,1,0.5,2.5
AstonVilla,Brentford,2,1,1,1.0,2.0
AstonVilla,Brentford,3,3,0,0.5,2.5
AstonVilla,Brighton,6,1,1,1.0,6.0
